lon,lat,vv,vh,cell_id
105.54999999999995,10.649999999999968,-9.10552259243787,-17.06627603891546,105.5_10.6
105.54999999999995,10.749999999999968,-9.31189424127628,-16.667359246996636,105.5_10.7
105.54999999999995,10.849999999999968,-9.327791601687533,-16.624372329744048,105.5_10.8
105.54999999999995,10.949999999999967,-8.884239829299498,-15.867654011646882,105.5_10.9
105.54999999999995,11.049999999999967,-9.361787941894391,-16.62779565268088,105.5_11.0
105.64999999999995,8.549999999999976,-17.472371753344913,-32.45593164173142,105.6_8.5
105.64999999999995,8.649999999999975,-17.23622834257278,-32.62715101736507,105.6_8.6
105.64999999999995,8.749999999999975,-17.217239428215873,-32.71766929803479,105.6_8.7
105.64999999999995,8.849999999999975,-17.092179266920336,-32.88798489939303,105.6_8.8
105.64999999999995,8.949999999999974,-17.107245896062192,-32.920516391025764,105.6_8.9
105.64999999999995,9.049999999999974,-17.415967413260535,-33.148203098966356,105.6_9.0
105.64999999999995,9.149999999999974,-15.35061916249606,-26.47028790178029,105.6_9.1
105.64999999999995,9.249999999999973,-10.844408541093333,-18.22398560884141,105.6_9.2
105.64999999999995,9.349999999999973,-8.93082964341806,-15.209856402631171,105.6_9.3
105.64999999999995,9.449999999999973,-8.028852311091164,-15.497290961747488,105.6_9.4
105.64999999999995,9.549999999999972,-8.071203958452799,-16.495563128967728,105.6_9.5
105.64999999999995,9.649999999999972,-9.209199007062775,-17.273686829387792,105.6_9.6
105.64999999999995,9.749999999999972,-7.778959404273155,-15.634985276697032,105.6_9.7
105.64999999999995,9.849999999999971,-7.5505466927470195,-15.322021910920814,105.6_9.8
105.64999999999995,9.94999999999997,-7.065129612024712,-13.71235735432653,105.6_9.9
105.64999999999995,10.04999999999997,-7.2746325060746315,-13.981618852371222,105.6_10.0
105.64999999999995,10.14999999999997,-8.127826799416038,-14.889482521928452,105.6_10.1
105.64999999999995,10.24999999999997,-8.064218101994705,-14.824857676815329,105.6_10.2
105.64999999999995,10.34999999999997,-8.340007354881557,-15.32272330032584,105.6_10.3
105.64999999999995,10.449999999999969,-7.543008374159164,-14.762400802450394,105.6_10.4
105.64999999999995,10.549999999999969,-9.452009890420396,-15.723929623686898,105.6_10.5
105.64999999999995,10.649999999999968,-9.81803581340661,-16.28164315791952,105.6_10.6
105.64999999999995,10.749999999999968,-9.724963760266274,-16.632113646411643,105.6_10.7
105.64999999999995,10.849999999999968,-9.370545836695712,-16.507753125504294,105.6_10.8
105.64999999999995,10.949999999999967,-8.794284394680208,-15.86057233204847,105.6_10.9
105.64999999999995,11.049999999999967,-9.164601360313986,-17.24824656595255,105.6_11.0
105.74999999999994,8.549999999999976,-17.30079364067331,-31.654849363274085,105.7_8.5
105.74999999999994,8.649999999999975,-17.320842199129505,-31.87630352249014,105.7_8.6
105.74999999999994,8.749999999999975,-17.063978772582235,-31.97946736700876,105.7_8.7
105.74999999999994,8.849999999999975,-16.93237459312554,-32.198913523695076,105.7_8.8
105.74999999999994,8.949999999999974,-17.081830713583145,-32.248896949855165,105.7_8.9
105.74999999999994,9.049999999999974,-17.52063258818108,-32.44184487284375,105.7_9.0
105.74999999999994,9.149999999999974,-17.66328001359394,-31.73729276326072,105.7_9.1
105.74999999999994,9.249999999999973,-10.556552356389231,-18.02980530734782,105.7_9.2
105.74999999999994,9.349999999999973,-9.035528880266991,-15.412321478166477,105.7_9.3
105.74999999999994,9.449999999999973,-8.981225045085528,-15.407592088687256,105.7_9.4
105.74999999999994,9.549999999999972,-8.320208839364968,-15.433284837796746,105.7_9.5
105.74999999999994,9.649999999999972,-8.204262244592128,-15.72139703703112,105.7_9.6
105.74999999999994,9.749999999999972,-7.578388379222001,-14.061739283434793,105.7_9.7
105.74999999999994,9.849999999999971,-7.431516828210181,-14.26175024429717,105.7_9.8
105.74999999999994,9.94999999999997,-6.461875106021248,-13.11902350841909,105.7_9.9
105.74999999999994,10.04999999999997,-6.782162923772629,-13.683878497951282,105.7_10.0
105.74999999999994,10.14999999999997,-7.64062687068068,-14.639148637110592,105.7_10.1
105.74999999999994,10.24999999999997,-7.85177233137384,-14.771405368909072,105.7_10.2
105.74999999999994,10.34999999999997,-7.931374769708674,-14.932590827669564,105.7_10.3
105.74999999999994,10.449999999999969,-9.386398620633788,-15.793597325579125,105.7_10.4
105.74999999999994,10.549999999999969,-9.6064704640637,-15.841060563016065,105.7_10.5
105.74999999999994,10.649999999999968,-9.710483521841967,-16.014979718568373,105.7_10.6
105.74999999999994,10.749999999999968,-9.517879331293877,-16.02462701226176,105.7_10.7
105.74999999999994,10.849999999999968,-9.334527972947054,-17.079507015339885,105.7_10.8
105.74999999999994,10.949999999999967,-8.858255125369356,-16.25259842924447,105.7_10.9
105.74999999999994,11.049999999999967,-8.70656295536839,-16.56752178349489,105.7_11.0
